Date	CustomerNo_X	Stock_I
01-01-15	4	20
02-01-15	5	14
03-01-15	6	10
04-01-15	1	3
05-01-15	2	6
06-01-15	3	8
07-01-15	4	8
08-01-15	6	1
09-01-15	9	1
10-01-15	7	5
11-01-15	4	7
12-01-15	5	9
13-01-15	2	2
14-01-15	4	3
15-01-15	5	5
16-01-15	5	15
17-01-15	4	3
18-01-15	2	4
19-01-15	8	14
20-01-15	4	3
21-01-15	5	9
22-01-15	5	12
23-01-15	5	19
24-01-15	8	15
25-01-15	9	11
26-01-15	10	3
27-01-15	9	3
28-01-15	7	4
29-01-15	4	14
30-01-15	5	3
31-01-15	8	12
01-02-15	3	11
02-02-15	4	13
03-02-15	7	15
04-02-15	7	18
05-02-15	9	19
06-02-15	3	6
07-02-15	4	3
08-02-15	5	9
09-02-15	5	12
10-02-15	6	20
11-02-15	7	14
12-02-15	9	10
13-02-15	10	3
14-02-15	2	6
15-02-15	1	8
16-02-15	10	8
17-02-15	9	1
18-02-15	8	1
19-02-15	3	5
20-02-15	6	7
21-02-15	8	9
22-02-15	4	2
23-02-15	5	3
24-02-15	5	5
25-02-15	3	5
26-02-15	2	4
27-02-15	7	4
28-02-15	6	13
01-03-15	10	6
02-03-15	9	1
03-03-15	9	2
04-03-15	8	4
05-03-15	8	6
06-03-15	7	3
07-03-15	7	15
08-03-15	6	12
09-03-15	6	15
10-03-15	5	14
11-03-15	5	19
12-03-15	4	20
13-03-15	4	20
14-03-15	3	3
15-03-15	3	5
16-03-15	5	7
17-03-15	7	8
18-03-15	9	2
19-03-15	9	2
20-03-15	7	1
21-03-15	5	14
22-03-15	10	12
23-03-15	8	6
24-03-15	8	7
25-03-15	6	8
26-03-15	4	9
27-03-15	2	4
28-03-15	1	5
29-03-15	1	2
30-03-15	3	5
31-03-15	2	4
01-04-15	7	4
02-04-15	6	13
03-04-15	4	20
04-04-15	5	14
05-04-15	6	10
06-04-15	1	3
07-04-15	2	6
08-04-15	6	15
09-04-15	8	16
10-04-15	10	17
11-04-15	1	18
12-04-15	3	19
13-04-15	5	20
14-04-15	7	11
15-04-15	9	4
16-04-15	4	5
17-04-15	5	6
18-04-15	5	9
19-04-15	3	11
20-04-15	4	3
21-04-15	2	4
22-04-15	8	14
23-04-15	4	3
24-04-15	5	9
25-04-15	5	12
26-04-15	8	7
27-04-15	6	8
28-04-15	4	9
29-04-15	2	4
30-04-15	5	5
01-05-15	5	4
02-05-15	4	4
03-05-15	2	13
04-05-15	8	20
05-05-15	4	14
06-05-15	5	10
07-05-15	5	3
08-05-15	5	6
09-05-15	8	15
10-05-15	9	16
11-05-15	10	17
12-05-15	9	18
13-05-15	7	19
14-05-15	4	20
15-05-15	5	11
16-05-15	8	4
17-05-15	10	5
18-05-15	10	6
19-05-15	9	9
20-05-15	9	11
21-05-15	8	3
22-05-15	8	4
23-05-15	7	14
24-05-15	7	3
25-05-15	6	9
26-05-15	6	12
27-05-15	5	7
28-05-15	5	8
29-05-15	4	9
30-05-15	5	6
31-05-15	8	15
01-06-15	9	16
02-06-15	10	17
03-06-15	9	18
04-06-15	7	19
05-06-15	4	20
