Date	CustomerNo_X	Stock_I
01-01-15	10	8
02-01-15	9	1
03-01-15	8	1
04-01-15	3	5
05-01-15	6	7
06-01-15	8	9
07-01-15	4	2
08-01-15	5	3
09-01-15	5	5
10-01-15	3	5
11-01-15	2	4
12-01-15	7	4
13-01-15	6	13
14-01-15	10	8
15-01-15	9	1
16-01-15	8	10
17-01-15	5	11
18-01-15	6	12
19-01-15	2	13
20-01-15	4	14
21-01-15	6	15
22-01-15	8	16
23-01-15	10	17
24-01-15	1	18
25-01-15	3	19
26-01-15	5	20
27-01-15	7	11
28-01-15	9	4
29-01-15	4	5
30-01-15	5	6
31-01-15	5	9
01-02-15	4	20
02-02-15	5	14
03-02-15	6	10
04-02-15	1	3
05-02-15	2	6
06-02-15	3	8
07-02-15	4	8
08-02-15	6	1
09-02-15	9	1
10-02-15	7	5
11-02-15	4	7
12-02-15	5	9
13-02-15	2	2
14-02-15	4	3
15-02-15	5	5
16-02-15	5	15
17-02-15	4	3
18-02-15	2	4
19-02-15	8	14
20-02-15	4	3
21-02-15	5	9
22-02-15	5	12
23-02-15	5	19
24-02-15	8	15
25-02-15	9	11
26-02-15	10	3
27-02-15	9	3
28-02-15	7	4
01-03-15	4	14
02-03-15	5	3
03-03-15	8	12
04-03-15	10	5
05-03-15	10	6
06-03-15	9	1
07-03-15	9	2
08-03-15	8	4
09-03-15	8	6
10-03-15	7	3
11-03-15	7	15
12-03-15	6	12
13-03-15	6	15
14-03-15	5	14
15-03-15	5	19
16-03-15	4	20
17-03-15	4	20
18-03-15	3	3
19-03-15	3	5
20-03-15	5	7
21-03-15	7	8
22-03-15	9	2
23-03-15	9	2
24-03-15	7	1
25-03-15	5	14
26-03-15	10	12
27-03-15	8	6
28-03-15	8	7
29-03-15	6	8
30-03-15	4	9
31-03-15	2	4
01-04-15	1	5
02-04-15	1	2
03-04-15	3	5
04-04-15	2	4
05-04-15	7	4
06-04-15	6	13
07-04-15	4	20
08-04-15	5	14
09-04-15	6	10
10-04-15	1	3
11-04-15	2	6
12-04-15	6	15
13-04-15	8	16
14-04-15	10	17
15-04-15	1	18
16-04-15	3	19
17-04-15	5	20
18-04-15	7	11
19-04-15	9	4
20-04-15	4	5
21-04-15	5	6
22-04-15	5	9
23-04-15	3	11
24-04-15	4	3
25-04-15	2	4
26-04-15	8	14
27-04-15	4	3
28-04-15	5	9
29-04-15	5	12
30-04-15	8	7
01-05-15	6	8
02-05-15	4	9
03-05-15	2	4
04-05-15	5	5
05-05-15	5	4
06-05-15	4	4
07-05-15	2	13
08-05-15	8	20
09-05-15	4	14
10-05-15	5	10
11-05-15	5	3
12-05-15	5	6
13-05-15	8	15
14-05-15	9	16
15-05-15	10	17
16-05-15	9	18
17-05-15	7	19
18-05-15	4	20
19-05-15	5	11
20-05-15	8	4
21-05-15	10	5
22-05-15	10	6
23-05-15	9	9
24-05-15	9	11
25-05-15	8	3
26-05-15	8	4
27-05-15	7	14
28-05-15	7	3
29-05-15	6	9
30-05-15	6	12
31-05-15	5	7
01-06-15	5	8
02-06-15	4	9
03-06-15	5	6
04-06-15	8	15
05-06-15	9	16
06-06-15	10	17
07-06-15	9	18
08-06-15	7	19
09-06-15	4	20
10-06-15	5	11
11-06-15	8	4
12-06-15	10	5
13-06-15	10	6
14-06-15	10	12
15-06-15	8	6
16-06-15	8	7
17-06-15	6	8
18-06-15	4	9
19-06-15	2	4
20-06-15	1	5
21-06-15	1	2
22-06-15	3	5
23-06-15	2	4
24-06-15	9	19
25-06-15	3	6
26-06-15	4	3
27-06-15	5	9
28-06-15	5	12
29-06-15	6	20
30-06-15	7	14
01-07-15	9	10
02-07-15	10	3
03-07-15	2	6
04-07-15	1	8
05-07-15	10	8
06-07-15	9	1
07-07-15	8	1
08-07-15	3	5
09-07-15	9	19
10-07-15	3	6
11-07-15	4	3
12-07-15	5	9
13-07-15	5	12
14-07-15	6	20
15-07-15	7	14
16-07-15	9	10
17-07-15	10	3
18-07-15	2	6
19-07-15	1	8
20-07-15	10	8
21-07-15	9	1
22-07-15	8	1
23-07-15	3	5
24-07-15	4	13
25-07-15	7	15
26-07-15	7	18
27-07-15	9	19
28-07-15	3	6
29-07-15	4	3
30-07-15	5	9
31-07-15	5	12
01-08-15	6	20
02-08-15	7	14
03-08-15	9	10
04-08-15	10	3
05-08-15	2	6
06-08-15	5	9
07-08-15	5	12
08-08-15	6	20
09-08-15	7	14
10-08-15	9	10
11-08-15	10	3
12-08-15	2	6
13-08-15	1	8
14-08-15	10	8
15-08-15	9	1
16-08-15	8	1
17-08-15	3	5
18-08-15	4	13
19-08-15	7	15
20-08-15	7	18
21-08-15	9	19
22-08-15	3	6
23-08-15	4	3
24-08-15	5	12
25-08-15	8	7
26-08-15	6	8
27-08-15	4	9
28-08-15	2	4
29-08-15	5	5
30-08-15	4	20
31-08-15	3	3
01-09-15	3	5
02-09-15	5	7
03-09-15	7	8
04-09-15	9	2
05-09-15	9	2
06-09-15	7	1
07-09-15	4	8
08-09-15	5	1
09-09-15	6	2
10-09-15	1	3
11-09-15	2	4
12-09-15	3	5
13-09-15	4	9
14-09-15	6	10
15-09-15	9	3
16-09-15	7	2
17-09-15	4	4
18-09-15	5	6
19-09-15	2	7
20-09-15	1	2
21-09-15	3	5
22-09-15	2	4
23-09-15	9	19
24-09-15	3	6
25-09-15	4	3
26-09-15	5	9
27-09-15	5	12
28-09-15	6	20
29-09-15	7	14
30-09-15	9	10
01-10-15	10	3
02-10-15	5	4
03-10-15	4	4
04-10-15	2	13
05-10-15	8	20
06-10-15	4	14
07-10-15	5	10
08-10-15	5	3
09-10-15	5	6
10-10-15	8	15
11-10-15	9	16
12-10-15	10	17
13-10-15	9	18
14-10-15	7	19
15-10-15	4	20
16-10-15	5	11
17-10-15	8	4
18-10-15	10	5
19-10-15	3	5
20-10-15	2	4
21-10-15	9	19
22-10-15	3	6
23-10-15	4	3
24-10-15	5	9
25-10-15	5	12
26-10-15	6	20
27-10-15	7	14
28-10-15	9	10
29-10-15	10	3
30-10-15	5	4
31-10-15	4	4
01-11-15	6	14
02-11-15	7	15
03-11-15	9	16
04-11-15	10	17
05-11-15	2	18
06-11-15	5	19
07-11-15	5	20
08-11-15	6	11
09-11-15	7	4
10-11-15	9	5
11-11-15	10	6
12-11-15	2	9
13-11-15	1	11
14-11-15	10	13
15-11-15	9	15
16-11-15	8	18
17-11-15	3	19
18-11-15	4	6
19-11-15	7	3
20-11-15	7	9
21-11-15	9	12
22-11-15	3	20
23-11-15	4	14
24-11-15	5	10
25-11-15	8	3
26-11-15	6	6
27-11-15	4	6
28-11-15	2	3
29-11-15	5	9
30-11-15	4	14
01-12-15	3	10
02-12-15	3	3
03-12-15	5	7
04-12-15	4	8
05-12-15	5	1
06-12-15	6	2
07-12-15	1	3
08-12-15	2	4
09-12-15	3	5
10-12-15	4	9
11-12-15	6	10
12-12-15	9	3
13-12-15	7	2
14-12-15	4	4
15-12-15	5	6
16-12-15	2	7
17-12-15	1	8
18-12-15	8	9
19-12-15	8	10
20-12-15	5	11
21-12-15	6	12
22-12-15	2	13
23-12-15	4	14
24-12-15	6	15
25-12-15	6	20
26-12-15	7	14
27-12-15	9	10
28-12-15	10	3
29-12-15	5	4
30-12-15	4	4
31-12-15	6	14
